case_id,run_id,status,load_multiplier_pu,current_A,oil_temperature_C,air_temperature_C,contact_resistance_multiplier_pu,Tmax_global_C,Tmax_conductor_C,Tmax_RIP_C,Tmax_contact_C,Tmax_silicone_C,Tmax_flange_C,thermal_warning,thermal_risk,risk_zone,contact_risk_zone,note
RUN008_CASE_053,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.000000,1250.00000,65.000000,25.000000,5.000000,67.3650266,57.4189804,67.3650266,55.6578126,45.9410044,39.3203085,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_054,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.200000,1500.00000,65.000000,25.000000,5.000000,67.6765332,64.2816118,67.4454226,64.6245090,48.2076415,40.1562510,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_055,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.400000,1750.00000,65.000000,25.000000,5.000000,79.9649033,75.1538957,75.2022110,75.6489218,50.9913130,41.1733198,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_056,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,0.600000,750.000000,75.000000,25.000000,5.000000,77.7963423,59.9036275,77.7963423,45.8951859,46.8394956,41.2855596,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_057,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,0.800000,1000.00000,75.000000,25.000000,5.000000,77.8279423,61.6597328,77.8279423,51.3026446,48.2227031,41.8163854,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_058,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.000000,1250.00000,75.000000,25.000000,5.000000,77.8924444,63.9806131,77.8924444,58.4752435,50.0029863,42.4823520,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_059,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.200000,1500.00000,75.000000,25.000000,5.000000,77.9935964,67.2289203,77.9935964,67.5644950,52.2420765,43.2952055,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_060,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.400000,1750.00000,75.000000,25.000000,5.000000,83.0321409,78.1767641,78.2222285,78.6660925,55.0633062,44.3323939,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_061,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,0.600000,750.000000,85.000000,25.000000,5.000000,88.3421883,66.4340651,88.3421883,48.6566878,50.8381297,44.4032930,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_062,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,0.800000,1000.00000,85.000000,25.000000,5.000000,88.3952591,68.1920822,88.3952591,54.1230263,52.1985373,44.9154777,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_063,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.000000,1250.00000,85.000000,25.000000,5.000000,88.4378323,70.5534464,88.4378323,61.3266701,54.0409860,45.6190037,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_064,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.200000,1500.00000,85.000000,25.000000,5.000000,88.5432878,73.5522358,88.5432878,70.4986014,56.2847169,46.4348879,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_065,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.400000,1750.00000,85.000000,25.000000,5.000000,88.6435141,81.2154147,88.6435141,81.6983511,59.1269148,47.4848616,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_066,SOLID_ONLY_RISK_125_RUN008,INVALID_CASE,0.600000,750.000000,95.000000,25.000000,5.000000,98.8881458,72.9636631,98.8881458,51.4185551,54.8363514,47.5207806,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_067,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,0.800000,1000.00000,95.000000,25.000000,5.000000,98.9415995,74.7495047,98.9415995,56.9237835,56.2167483,48.0410688,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_068,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.000000,1250.00000,95.000000,25.000000,5.000000,99.0115277,77.1108025,99.0115277,64.2110474,58.0300268,48.7187829,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_069,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.200000,1500.00000,95.000000,25.000000,5.000000,99.0936829,80.1533026,99.0936829,73.4270626,60.3338166,49.5759494,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_070,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.400000,1750.00000,95.000000,25.000000,5.000000,99.1932419,84.2510085,99.1932419,84.7275755,63.1982608,50.6371849,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_071,SOLID_ONLY_RISK_125_RUN008,INVALID_CASE,0.600000,750.000000,105.000000,25.000000,5.000000,109.434174,79.4926844,109.434174,54.1805634,58.8343663,50.6381358,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_072,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,0.800000,1000.00000,105.000000,25.000000,5.000000,109.487997,81.3075922,109.487997,59.7262875,60.2339978,51.1661759,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_073,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.000000,1250.00000,105.000000,25.000000,5.000000,109.559420,83.6925203,109.559420,67.0623330,62.0668017,51.8536762,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_074,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.200000,1500.00000,105.000000,25.000000,5.000000,109.644170,86.7567692,109.644170,76.3514788,64.3872625,52.7185285,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_075,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.400000,1750.00000,105.000000,25.000000,5.000000,109.744056,90.5504776,109.744056,87.7529800,67.2735184,53.7898603,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
