idx,type,xmin,xmax,ymin,ymax,dx,dy
193,LINE,2184.022534798311,2185.022534798311,2073.066709336857,2073.066709336857,1.0,0.0
194,LINE,2186.022534798311,2187.028624467668,2073.066709336857,2073.066709336857,1.0060896693571522,0.0
195,LINE,2188.522534798311,2189.522534798311,2073.066709336857,2073.066709336857,1.0,0.0
196,LINE,2193.022534798311,2194.022534798311,2073.066709336857,2073.066709336857,1.0,0.0
197,LINE,2190.522534798311,2191.528624467668,2073.066709336857,2073.066709336857,1.0060896693571522,0.0
198,LINE,2197.522534798311,2198.522534798311,2073.066709336857,2073.066709336857,1.0,0.0
199,LINE,2195.022534798311,2196.028624467668,2073.066709336857,2073.066709336857,1.0060896693571522,0.0
200,LINE,2199.522534798311,2200.528624467668,2073.066709336857,2073.066709336857,1.0060896693571522,0.0
201,LINE,2202.022534798311,2203.022534798311,2073.066709336857,2073.066709336857,1.0,0.0
202,LINE,2204.022534798311,2205.028624467668,2073.066709336857,2073.066709336857,1.0060896693571522,0.0
203,LINE,2206.522534798311,2207.522534798311,2073.066709336857,2073.066709336857,1.0,0.0
204,LINE,2208.522534798311,2209.528624467668,2073.066709336857,2073.066709336857,1.0060896693571522,0.0
205,LINE,2211.022534798311,2212.022534798311,2073.066709336857,2073.066709336857,1.0,0.0
206,LINE,2213.022534798311,2214.028624467668,2073.066709336857,2073.066709336857,1.0060896693571522,0.0
207,LINE,2215.522534798311,2216.522534798311,2073.066709336857,2073.066709336857,1.0,0.0
208,LINE,2217.522534798311,2218.528624467668,2073.066709336857,2073.066709336857,1.0060896693571522,0.0
209,LINE,2220.022534798311,2221.022534798311,2073.066709336857,2073.066709336857,1.0,0.0
210,LINE,2175.021012376361,2177.022534798311,2073.066709336857,2076.066709336857,2.001522421950085,3.0
211,LINE,2175.030146889524,2177.028624467668,2058.066745865391,2061.066745679969,1.9984775781440476,2.999999814577677
212,LINE,2175.021012376361,2175.021012376361,2058.066745865391,2076.066709336857,0.0,17.99996347146589
213,LINE,2177.022534798311,2177.028624467668,2061.066745679969,2073.066709336857,0.006089669357152161,11.999963656888212
214,LINE,2225.022534798311,2225.022534798311,2073.066709336857,2076.066709336857,0.0,3.0
215,LINE,2223.022534798311,2225.022534798311,2073.066709336857,2076.066709336857,2.0,3.0
216,LINE,2225.022534798311,2225.022534798311,2058.066745865391,2073.066709336857,0.0,14.99996347146589
217,LINE,2223.022534798311,2225.022534798311,2058.066745865391,2061.066745679969,2.0,2.999999814577677
218,LINE,2225.022534798311,2226.022534798311,2076.066709336857,2076.066709336857,1.0,0.0
219,LINE,2226.022534798311,2226.022534798311,2058.066709336857,2076.066709336857,0.0,18.0
