case_id,load_multiplier_pu,oil_temperature_C,contact_resistance_multiplier_pu,Tmax_global_RUN008_C,Tmax_global_RUN010_C,delta_Tmax_global_C,Tmax_RIP_RUN008_C,Tmax_RIP_RUN010_C,delta_Tmax_RIP_C,Qdielectric_RUN008_ref_W,Qdielectric_RUN010_field_W,Qdielectric_ratio_field_to_ref,risk_zone_RUN008,risk_zone_RUN010,risk_zone_changed,notes
RUN010_CASE_083,1.0,75.0,10.0,77.9382551,78.0864797,0.14822459999999182,77.9382551,78.0864797,0.14822459999999182,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_084,1.2,75.0,10.0,80.2102483,82.8969778,2.6867294999999984,78.0295517,79.2890977,1.2595460000000003,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_085,1.4,75.0,10.0,96.3491735,99.1418849,2.7927113999999875,91.213784,93.9790396,2.765255599999989,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_086,0.6,85.0,10.0,88.3512594,88.4992174,0.1479580000000027,88.3512594,88.4992174,0.1479580000000027,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_087,0.8,85.0,10.0,88.4116701,88.5563447,0.14467460000000187,88.4116701,88.5563447,0.14467460000000187,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_088,1.0,85.0,10.0,88.4875967,88.6314955,0.14389880000000232,88.4875967,88.6314955,0.14389880000000232,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_089,1.2,85.0,10.0,88.5786998,88.7260576,0.14735780000000887,88.5786998,88.7260576,0.14735780000000887,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_090,1.4,85.0,10.0,99.4159446,102.207798,2.7918533999999937,94.2328335,97.0061438,2.7733103000000057,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_091,0.6,95.0,10.0,98.8971435,99.0426281,0.14548460000000318,98.8971435,99.0426281,0.14548460000000318,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_092,0.8,95.0,10.0,98.9581148,99.1004512,0.1423363999999907,98.9581148,99.1004512,0.1423363999999907,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_093,1.0,95.0,10.0,99.0364924,99.1765114,0.14001899999999523,99.0364924,99.1765114,0.14001899999999523,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_094,1.2,95.0,10.0,99.1289391,99.2722085,0.14326940000000832,99.1289391,99.2722085,0.14326940000000832,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_095,1.4,95.0,10.0,102.486968,105.273711,2.7867430000000013,99.2436715,100.033641,0.789969499999998,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_096,0.6,105.0,10.0,109.443109,109.586039,0.14292999999999267,109.443109,109.586039,0.14292999999999267,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_097,0.8,105.0,10.0,109.504523,109.644558,0.14003499999999747,109.504523,109.644558,0.14003499999999747,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_098,1.0,105.0,10.0,109.584853,109.721527,0.1366739999999993,109.584853,109.721527,0.1366739999999993,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_099,1.2,105.0,10.0,109.679588,109.818359,0.13877100000000553,109.679588,109.818359,0.13877100000000553,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
