selection_name,domain_ids,boundary_ids
geom_v3_g_silicone_rubber_external_insulation_bnd,"","70 71 72 73 75 77 79 81 83 85 87 89 91 93 95 97 99 101 103 105 107 109 111 113 115 117 119 121 123 125 127 129 131 133 135 137 139 141 143 145 147 149 151 153 155 157 159 161 163 165 167 169 171 173 175 177 179 181 183 185 187 189 191 193 195 197 199 201 203"
geom_v3_g_silicone_rubber_external_insulation_dom,"21",""
geom_v3_g_silicone_rubber_external_insulation_pnt,"",""
geom_v3_g_terminal_connector_region_bnd,"","13 14 16 28"
geom_v3_g_terminal_connector_region_dom,"6",""
geom_v3_g_terminal_connector_region_pnt,"",""
v3_air_side_sheds_or_equivalent_envelope,"19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82",""
v3_bnd_air_convection_seg_000,"",""
v3_bnd_air_convection_seg_001,"",""
v3_bnd_air_convection_seg_002,"",""
v3_bnd_air_convection_seg_003,"",""
v3_bnd_air_convection_seg_004,"",""
v3_bnd_air_convection_seg_005,"",""
v3_bnd_air_convection_seg_006,"",""
v3_bnd_air_convection_seg_007,"",""
v3_bnd_air_convection_seg_008,"",""
v3_bnd_air_convection_seg_009,"",""
v3_bnd_air_convection_seg_010,"",""
v3_bnd_air_convection_seg_011,"",""
v3_bnd_air_convection_seg_012,"",""
v3_bnd_air_convection_seg_013,"",""
v3_bnd_air_convection_seg_014,"",""
v3_bnd_air_convection_seg_015,"",""
v3_bnd_air_convection_seg_016,"",""
v3_bnd_air_convection_seg_017,"",""
v3_bnd_air_convection_seg_018,"",""
v3_bnd_air_convection_seg_019,"",""
v3_bnd_air_convection_seg_020,"",""
v3_bnd_air_convection_seg_021,"",""
v3_bnd_air_convection_seg_022,"",""
v3_bnd_air_convection_seg_023,"",""
v3_bnd_air_convection_seg_024,"",""
v3_bnd_air_convection_seg_025,"",""
v3_bnd_air_convection_seg_026,"",""
v3_bnd_air_convection_seg_027,"",""
v3_bnd_air_convection_seg_028,"",""
v3_bnd_air_convection_seg_029,"",""
v3_bnd_air_convection_seg_030,"",""
v3_bnd_air_convection_seg_031,"",""
v3_bnd_air_convection_seg_032,"",""
v3_bnd_air_convection_seg_033,"",""
v3_bnd_air_convection_seg_034,"",""
v3_bnd_air_convection_seg_035,"",""
v3_bnd_air_convection_seg_036,"",""
v3_bnd_air_convection_seg_037,"",""
v3_bnd_air_convection_seg_038,"",""
v3_bnd_air_convection_seg_039,"",""
v3_bnd_air_convection_seg_040,"",""
v3_bnd_air_convection_seg_041,"",""
v3_bnd_air_convection_seg_042,"",""
v3_bnd_air_convection_seg_043,"",""
v3_bnd_air_convection_seg_044,"",""
v3_bnd_air_convection_seg_045,"",""
v3_bnd_air_convection_seg_046,"",""
v3_bnd_air_convection_seg_047,"",""
v3_bnd_air_convection_seg_048,"",""
v3_bnd_air_convection_seg_049,"",""
v3_bnd_air_convection_seg_050,"",""
v3_bnd_air_convection_seg_051,"",""
v3_bnd_air_convection_seg_052,"",""
v3_bnd_air_convection_seg_053,"",""
v3_bnd_air_convection_seg_054,"",""
v3_bnd_air_convection_seg_055,"",""
v3_bnd_air_convection_seg_056,"",""
v3_bnd_air_convection_seg_057,"",""
v3_bnd_air_convection_seg_058,"",""
v3_bnd_air_convection_seg_059,"",""
v3_bnd_air_convection_seg_060,"",""
v3_bnd_air_convection_seg_061,"",""
v3_bnd_air_convection_seg_062,"",""
v3_bnd_air_convection_seg_063,"",""
v3_bnd_air_convection_seg_064,"",""
v3_bnd_air_convection_seg_065,"",""
v3_bnd_air_external_convection_explicit,"",""
v3_bnd_axisymmetry,"","1 2 3"
v3_bnd_external_terminal_convection,"","14 16 28 29"
v3_bnd_flange_external_convection,"","231 233 318"
v3_bnd_oil_convection_seg_000,"",""
v3_bnd_oil_convection_seg_001,"",""
v3_bnd_oil_convection_seg_002,"",""
v3_bnd_oil_convection_seg_003,"",""
v3_bnd_oil_convection_seg_004,"",""
v3_bnd_oil_convection_seg_005,"",""
v3_bnd_oil_convection_seg_006,"",""
v3_bnd_oil_convection_seg_007,"",""
v3_bnd_oil_convection_seg_008,"",""
v3_bnd_oil_convection_seg_009,"",""
v3_bnd_oil_convection_seg_010,"",""
v3_bnd_oil_convection_seg_011,"",""
v3_bnd_oil_convection_seg_012,"",""
v3_bnd_oil_convection_seg_013,"",""
v3_bnd_oil_convection_seg_014,"",""
v3_bnd_oil_convection_seg_015,"",""
v3_bnd_oil_convection_seg_016,"",""
v3_bnd_oil_convection_seg_017,"",""
v3_bnd_oil_convection_seg_018,"",""
v3_bnd_oil_convection_seg_019,"",""
v3_bnd_oil_convection_seg_020,"",""
v3_bnd_oil_convection_seg_021,"",""
v3_bnd_oil_convection_seg_022,"",""
v3_bnd_oil_convection_seg_023,"",""
v3_bnd_oil_convection_seg_024,"",""
v3_bnd_oil_convection_seg_025,"",""
v3_bnd_oil_convection_seg_026,"",""
v3_bnd_oil_convection_seg_027,"",""
v3_bnd_oil_convection_seg_028,"",""
v3_bnd_oil_convection_seg_029,"",""
v3_bnd_oil_convection_seg_030,"",""
v3_bnd_oil_convection_seg_031,"",""
v3_bnd_oil_convection_seg_032,"",""
v3_bnd_oil_convection_seg_033,"",""
v3_bnd_oil_convection_seg_034,"",""
v3_bnd_oil_convection_seg_035,"",""
